timestamp,bid,ask
2025-04-05 21:09:05.058903,20531.1,20537.8
2025-04-06 21:55:04.513354,20531.1,20537.8
2025-04-06 22:47:35.304243,20531.1,20537.8
2025-04-06 23:13:29.890959,20531.1,20537.8
2025-04-07 00:01:01.421959,20531.1,20537.8
2025-04-07 00:24:19.589997,20012.4,20021.6
2025-04-07 00:24:24.131341,19870.9,19880.1
2025-04-07 00:24:24.633517,19871.4,19880.6
2025-04-07 00:24:24.805811,19894.9,19904.1
2025-04-07 00:24:25.460678,19905.2,19906.7
2025-04-07 00:24:25.688441,19895.4,19904.6
2025-04-07 00:24:25.927202,19898.4,19907.6
2025-04-07 00:24:26.242730,19878.4,19887.6
2025-04-07 00:24:26.771905,19896.2,19897.7
2025-04-07 00:24:26.996214,19886.9,19896.1
2025-04-07 00:24:27.357631,19879.4,19888.6
2025-04-07 00:24:27.648001,19872.9,19879.0
2025-04-07 00:24:28.254792,19882.4,19891.6
2025-04-07 00:24:28.919039,19877.4,19886.6
2025-04-07 00:24:29.124551,19875.9,19885.1
2025-04-07 00:24:29.416108,19884.4,19893.6
2025-04-07 00:24:29.923210,19865.4,19874.6
2025-04-07 00:24:30.243915,19862.4,19871.6
2025-04-07 00:24:30.873628,19830.9,19840.1
2025-04-07 00:24:31.243715,19824.4,19833.6
2025-04-07 00:24:31.689781,19806.9,19816.1
2025-04-07 00:24:32.269298,19800.9,19810.1
2025-04-07 00:24:32.536413,19801.4,19810.6
2025-04-07 00:24:32.751251,19816.7,19818.2
2025-04-07 00:24:33.090629,19825.4,19834.6
2025-04-07 00:24:33.349273,19827.9,19837.1
2025-04-07 00:24:33.571601,19833.9,19841.0
2025-04-07 00:24:33.766446,19843.4,19852.6
2025-04-07 00:24:34.146506,19852.4,19861.6
2025-04-07 00:24:34.372392,19851.4,19860.6
2025-04-07 00:24:34.939555,19869.4,19878.6
2025-04-07 00:24:35.236420,19867.4,19876.6
2025-04-07 00:24:35.632634,19870.4,19879.6
2025-04-07 00:24:36.616283,19890.9,19895.0
2025-04-07 00:24:37.592250,19876.9,19886.1
2025-04-07 00:24:39.978842,19860.4,19869.6
2025-04-07 00:24:40.488505,19859.9,19869.1
2025-04-07 00:24:41.979522,19857.4,19866.6
2025-04-07 00:24:42.334921,19856.9,19866.1
2025-04-07 00:24:42.516870,19851.4,19860.6
2025-04-07 00:24:42.870781,19848.4,19857.6
2025-04-07 00:24:43.136614,19847.4,19856.6
2025-04-07 00:24:43.625149,19845.9,19855.0
2025-04-07 00:24:44.442970,19830.4,19839.6
2025-04-07 00:24:44.791977,19839.2,19840.7
2025-04-07 00:24:45.052290,19828.4,19837.6
2025-04-07 00:24:45.986478,19830.4,19839.6
2025-04-07 00:24:46.672877,19826.9,19830.0
2025-04-07 00:24:46.997336,19809.9,19819.1
2025-04-07 00:24:47.494027,19807.9,19817.1
2025-04-07 00:24:48.026502,19805.4,19814.6
2025-04-07 00:24:49.130060,19791.4,19800.6
2025-04-07 00:24:49.556399,19791.9,19801.1
2025-04-07 00:24:49.908967,19790.9,19800.1
2025-04-07 00:24:50.238300,19809.9,19819.1
2025-04-07 00:24:50.564378,19845.9,19855.1
2025-04-07 00:24:50.977758,19849.9,19859.1
2025-04-07 00:24:51.465512,19874.4,19883.6
2025-04-07 00:24:51.694950,19887.4,19896.6
2025-04-07 00:24:52.437844,19901.9,19911.0
2025-04-07 00:24:52.588022,19892.9,19902.0
2025-04-07 00:24:52.860682,19891.9,19901.1
2025-04-07 00:24:53.075558,19898.4,19907.6
2025-04-07 00:24:53.469312,19901.9,19911.0
2025-04-07 00:24:54.072323,19917.9,19927.1
2025-04-07 00:24:54.375534,19924.9,19931.0
2025-04-07 00:24:54.646834,19934.4,19943.6
2025-04-07 00:24:54.885006,19938.9,19948.1
2025-04-07 00:24:55.815135,19946.9,19956.0
2025-04-07 00:24:56.767301,19947.9,19956.0
2025-04-07 00:24:57.315803,19946.2,19947.7
2025-04-07 00:24:57.712604,19927.4,19936.6
2025-04-07 00:24:57.957952,19928.9,19938.1
2025-04-07 00:24:58.872650,19920.4,19929.6
2025-04-07 00:24:59.197232,19921.9,19931.1
2025-04-07 00:24:59.303462,19915.9,19920.0
2025-04-07 00:24:59.639073,19923.7,19925.2
2025-04-07 00:24:59.963473,19912.9,19925.0
2025-04-07 00:25:00.785996,19912.9,19923.0
2025-04-07 00:25:01.138836,19895.9,19915.0
2025-04-07 00:25:01.734928,19895.9,19907.0
2025-04-07 00:25:02.278180,19895.9,19905.0
2025-04-07 00:25:02.554383,19880.9,19893.0
2025-04-07 00:25:03.755614,19856.9,19870.0
2025-04-07 00:25:04.248933,19862.9,19871.0
2025-04-07 00:25:04.969284,19867.9,19886.0
2025-04-07 00:25:05.380628,19868.9,19885.0
2025-04-07 00:25:05.753637,19868.9,19890.0
2025-04-07 00:25:06.259933,19868.9,19887.0
2025-04-07 00:25:07.474399,19868.9,19885.0
2025-04-07 00:25:07.539194,19879.9,19884.0
2025-04-07 00:25:08.398291,19856.9,19874.0
2025-04-07 00:25:08.891986,19856.9,19871.0
2025-04-07 00:25:09.811831,19842.9,19856.0
2025-04-07 00:25:10.208398,19844.9,19856.0
2025-04-07 00:25:11.030839,19832.9,19855.0
2025-04-07 00:25:11.830176,19833.9,19843.0
2025-04-07 00:25:13.203713,19828.9,19842.0
2025-04-07 00:25:13.368934,19828.9,19853.0
2025-04-07 00:25:13.835418,19830.9,19852.0
2025-04-07 00:25:14.486585,19845.9,19852.0
2025-04-07 00:25:15.971025,19831.9,19852.0
2025-04-07 00:25:16.579135,19844.9,19852.0
2025-04-07 00:25:18.091984,19847.9,19856.0
2025-04-07 00:25:18.914599,19849.9,19856.0
2025-04-07 00:25:19.490351,19862.9,19876.0
2025-04-07 00:25:20.013517,19857.9,19875.0
2025-04-07 00:25:20.801393,19866.9,19886.0
2025-04-07 00:25:21.130860,19877.9,19886.0
2025-04-07 00:25:22.094408,19877.9,19893.0
2025-04-07 00:25:22.971025,19858.1,19883.8
2025-04-07 00:25:23.035692,19862.9,19885.0
2025-04-07 00:25:23.402982,19872.9,19884.0
2025-04-07 00:25:23.865619,19874.9,19884.0
2025-04-07 00:25:24.286498,19872.9,19884.0
2025-04-07 00:25:24.409981,19863.9,19883.0
2025-04-07 00:25:25.014239,19859.9,19879.0
2025-04-07 00:25:25.328488,19858.9,19879.0
2025-04-07 00:25:26.970244,19851.6,19877.3
2025-04-07 00:25:27.051025,19859.9,19874.0
2025-04-07 00:25:27.288535,19851.9,19873.0
2025-04-07 00:25:28.371429,19851.9,19872.0
2025-04-07 00:25:30.534536,19857.9,19883.0
2025-04-07 00:25:31.275524,19851.9,19874.0
2025-04-07 00:25:31.476532,19851.9,19870.0
2025-04-07 00:25:32.357697,19851.9,19868.0
2025-04-07 00:25:33.087675,19851.9,19873.0
2025-04-07 00:25:33.653981,19853.9,19873.0
2025-04-07 00:25:33.865836,19854.9,19873.0
2025-04-07 00:25:34.356561,19855.9,19881.0
2025-04-07 00:25:34.735405,19856.9,19868.0
2025-04-07 00:25:36.181364,19856.9,19873.0
2025-04-07 00:25:36.394504,19841.1,19866.8
2025-04-07 00:25:36.864716,19850.9,19872.0
2025-04-07 00:25:37.605377,19861.9,19878.0
2025-04-07 00:25:38.093180,19861.9,19870.0
2025-04-07 00:25:38.640463,19862.9,19877.0
2025-04-07 00:25:39.143628,19864.9,19880.0
2025-04-07 00:25:39.580555,19866.1,19891.8
2025-04-07 00:25:40.059821,19889.9,19897.0
2025-04-07 00:25:40.783484,19885.9,19897.0
2025-04-07 00:25:40.923843,19880.9,19891.0
2025-04-07 00:25:41.327066,19863.9,19883.0
2025-04-07 00:25:41.789951,19863.9,19879.0
2025-04-07 00:25:42.428568,19853.9,19866.0
2025-04-07 00:25:43.081656,19839.6,19865.3
